molecule,ppm,intensity
"1,2-Propanediol",4.49748235065271,0.5487447666356396
"1,2-Propanediol",3.25896364801484,0.412076378181107
"1,2-Propanediol",1.02516850459446,1.0
"1,8-Cineole",1.4680649299207,0.4634400783172083
"1,8-Cineole",1.14782335020324,1.0
"1,8-Cineole",0.944922196641792,0.3987916621965033
2-Furoylglycine,7.69270207776457,0.3351482855944075
2-Furoylglycine,7.19084035142862,0.5122440052951308
2-Furoylglycine,6.6479205437562,0.3269031730153365
2-Furoylglycine,3.93258832537024,1.0
2-Heptanone,2.53652916166425,0.7873971215305935
2-Heptanone,2.19925216623554,1.0
2-Heptanone,1.53844587899616,0.6030047740259116
2-Heptanone,1.25194373559667,0.686816111126213
2-Heptanone,0.852343817099615,0.9683369659022322
2-Methylbutyric acid,1.0616594482649,1.0
2-Methylbutyric acid,0.871896481054694,0.7786625964253695
2-Methylbutyrylglycine,4.09987311824515,0.9119703876064105
2-Methylbutyrylglycine,2.23482732205475,0.2852063765038459
2-Methylbutyrylglycine,1.26724441905423,0.4918889320206306
2-Methylbutyrylglycine,1.1837594987575,1.0
2-Methylbutyrylglycine,0.935867871385181,0.9688802471570214
"3,4-Dihydroxybenzeneacetic acid",6.8538502590939,0.5307106750341026
"3,4-Dihydroxybenzeneacetic acid",6.8067865278112,0.6062176811095683
"3,4-Dihydroxybenzeneacetic acid",6.7076953123371,0.3582546168130846
"3,4-Dihydroxybenzeneacetic acid",3.39025378500834,1.0
3-Methylhistamine,8.01045828314592,0.25071014422853743
3-Methylhistamine,7.06774552414888,0.35732060242980535
3-Methylhistamine,3.71438681961201,1.0
3-Methylhistamine,3.30185806938008,0.6912599649116403
3-Methylhistamine,3.06544453426499,0.6082753504825286
4-Hydroxyphenylpyruvic acid,7.12824982917202,0.9926887252759328
4-Hydroxyphenylpyruvic acid,6.88713826582038,0.7927166614772116
4-Hydroxyphenylpyruvic acid,4.00973925181012,1.0
4-Pyridoxolactone,7.79429935140848,0.28414831798221635
4-Pyridoxolactone,4.0450344614948,0.6849594336341425
4-Pyridoxolactone,2.4046376129023,1.0
5-Hydroxytryptophol,7.14180824605499,0.44049086824834216
5-Hydroxytryptophol,7.00158611069911,0.46357848466285834
5-Hydroxytryptophol,6.90847128094645,0.4746045852527404
5-Hydroxytryptophol,6.64947274858323,0.4120836576516597
5-Hydroxytryptophol,4.85884524493409,1.0
5-Hydroxytryptophol,3.78105942023791,0.48563784025788514
5-Hydroxytryptophol,2.89371908395318,0.36565377365224183
5-Methoxydimethyltryptamine,3.90191179450259,0.5093167296414824
5-Methoxydimethyltryptamine,2.89788513781322,1.0
5-Methylfurfural,0.0561639283048599,0.37786432663978686
5-Methylfurfural,0.287234375024492,0.2685833154666368
5-Methylfurfural,0.396202615925566,0.31264598772487506
5-Methylfurfural,0.838961673668184,1.0
ADP-glucose,8.48905734600543,0.7026336595203371
ADP-glucose,3.72396718593683,0.47770374144804384
ADP-glucose,3.48663125982564,1.0
Ascorbic acid,4.71812088629222,0.54979688696299
Ascorbic acid,3.73021632706425,0.39217065034176996
Ascorbic acid,3.44161019461383,1.0
Astaxanthin,6.20021068932794,0.5661480068770178
Astaxanthin,2.10138354392984,0.4414955018730932
Astaxanthin,1.997882123596,0.7320305397041165
Astaxanthin,1.96669284110118,1.0
Astaxanthin,1.88252450340967,0.8468886371291721
Benzyl acetate,7.3604824153455,1.0
Benzyl acetate,5.08120935369812,0.5596502756505043
Benzyl acetate,2.02516834424169,0.9292379792627388
beta-Ionone,2.33534244730913,0.5329381456263653
beta-Ionone,2.03552227222148,0.28191269889328036
beta-Ionone,1.70344499243967,0.5726967569381035
beta-Ionone,1.48384033266759,0.2958381503717119
beta-Ionone,1.04527188275312,1.0
Caffeine,7.49812010557432,0.27046830654891396
Caffeine,3.99353351437685,0.7049024683208767
Caffeine,3.58173543477376,1.0
Caffeine,3.41254849588837,0.7954469383549363
Catechin,6.83560252409422,0.7971873071317119
Catechin,6.75293154474907,0.6088191778934613
Catechin,6.70369211131482,0.5616880880376902
Catechin,5.91522031606171,0.7571175886290618
Catechin,5.85198876596826,1.0
Catechin,4.5645004132209,0.6825963073541744
